,C001_L-92,C001_L-44,C001_L-3,C001_R+1,C002_L-92,C002_L-44,C002_L-3,C002_R+1,C003_L-92,C003_L-44,C003_L-3,C003_R+1,C004_L-92,C004_L-44,C004_L-3,C004_R+1,C001_L-92.1,C001_L-44.1,C001_L-3.1,C001_R+1.1,C002_L-92.1,C002_L-44.1,C002_L-3.1,C002_R+1.1,C003_L-92.1,C003_L-44.1,C003_L-3.1,C003_R+1.1,C004_L-92.1,C004_L-44.1,C004_L-3.1,C004_R+1.1,DESeq2_log2FC,DESeq2_p-value,DESeq2_adjusted p-value,pipeline-transcriptome-de_log2FC,pipeline-transcriptome-de_p-value,pipeline-transcriptome-de_adjusted p-value,ENSEMBL_clean,symbol,name,domain
ENSG00000004939.16,61,27,30,25,268,65,319,61,156,52,215,10,97,96,201,100,57,26,28,23,258,61,293,60,151,49,208,11,91,91,198,98,-0.001,9.95021579306941e-05,0.0261690675357725,-1.62135312631413,1.80177040380871e-07,0.0003171279708012,ENSG00000004939,SLC4A1,solute carrier family 4 member 1 (Diego blood group),Erythroid_RBC
ENSG00000008441.19,18,12,12,19,71,18,52,12,51,22,57,6,21,24,61,34,17,12,11,16,68,17,43,11,49,21,52,5,18,21,57,33,0.0,0.008627706820339,0.307272183528532,-1.26533967623702,0.0001108707363963,0.039028515043083,ENSG00000008441,NFIX,nuclear factor I X,Transcriptional_Regulation
ENSG00000029534.21,10,8,5,8,42,20,35,7,21,11,37,0,5,12,29,7,10,8,5,8,38,18,32,7,19,8,34,0,4,11,28,7,-0.001,0.0006034856175959,0.0855689283902716,-1.76153989426814,8.83107529071387e-06,0.0077717476683414,ENSG00000029534,ANK1,ankyrin 1,Erythroid_RBC
ENSG00000057757.10,21,17,13,16,71,20,71,10,37,25,79,12,38,38,69,43,20,17,13,16,71,20,69,10,37,25,78,11,37,38,69,42,-0.001,0.0006908981989223,0.0855689283902716,-1.35170873925416,2.61929527701629e-05,0.0137059934752196,ENSG00000057757,PITHD1,PITH domain containing 1,Other
ENSG00000063854.13,109,78,65,73,102,27,98,26,106,55,224,18,114,132,267,173,106,77,63,70,98,25,93,25,106,53,214,17,113,129,264,174,-0.001,0.0010374468010253,0.101343731791595,-1.23674074024615,4.02633365615622e-05,0.0185604395040097,ENSG00000063854,HAGH,hydroxyacylglutathione hydrolase,Other
ENSG00000066926.13,20,12,8,9,75,17,56,13,39,18,76,7,23,29,63,38,19,10,7,8,72,16,54,12,38,16,73,7,22,28,62,36,-0.001,0.0014398751051211,0.113381425026381,-1.44035957887971,1.4628837684162e-05,0.0094409642134353,ENSG00000066926,FECH,ferrochelatase,Erythroid_RBC
ENSG00000070182.21,3,3,3,0,19,4,26,3,7,3,13,0,7,11,20,4,3,3,2,0,16,3,25,4,7,3,13,0,7,11,20,5,0.0,8.2039884523223e-05,,-2.34152184963992,2.0969088889581e-05,0.0123025009088235,ENSG00000070182,SPTB,"spectrin beta, erythrocytic",Erythroid_RBC
ENSG00000079308.20,22,8,16,8,98,29,171,38,48,24,89,5,31,27,75,32,19,7,13,8,98,25,164,36,46,21,86,5,30,26,74,30,-0.001,0.0006996920540359,0.0855689283902716,-1.36076157267972,2.32095921884254e-05,0.0129721398464146,ENSG00000079308,TNS1,tensin 1,Other
ENSG00000086506.3,65,45,41,41,132,34,106,31,76,20,78,7,41,30,57,35,64,45,40,41,130,33,104,31,76,20,78,8,40,29,57,35,-0.001,0.0019934524605388,0.12939329560072,-1.31740127196649,1.45440169218169e-05,0.0094409642134353,ENSG00000086506,HBQ1,hemoglobin subunit theta 1,Erythroid_RBC
ENSG00000090013.11,222,190,117,141,212,87,191,60,327,136,691,70,368,459,696,573,215,191,115,141,202,87,182,57,325,135,690,69,362,457,691,570,-0.001,0.0012718896169385,0.113381425026381,-1.17223853991504,0.0001161869862937,0.0396783373216144,ENSG00000090013,BLVRB,biliverdin reductase B,Erythroid_RBC
ENSG00000099804.9,50,37,22,43,182,60,146,37,117,48,138,10,74,92,167,114,50,36,21,43,175,57,130,36,112,47,131,10,70,88,164,111,-0.001,0.0030106916217483,0.158362379303962,-1.25808610127083,3.16774254513618e-05,0.0161396482674688,ENSG00000099804,CDC34,"cell division cycle 34, ubiquitin conjugating enzyme",Protein_Degradation
ENSG00000100325.15,51,24,40,33,121,46,154,35,82,19,147,6,56,64,152,81,51,23,38,32,119,44,147,34,81,17,144,6,54,62,151,80,-0.001,0.0008016946178792,0.0913664632843029,-1.3402475890013,1.0928212625826e-05,0.0082588289078562,ENSG00000100325,ASCC2,activating signal cointegrator 1 complex subunit 2,Other
ENSG00000103342.13,74,35,57,53,307,71,354,71,110,46,226,20,79,75,169,128,72,33,56,52,302,70,351,68,107,45,224,19,75,73,170,128,-0.001,0.0022134475818231,0.135138880040236,-1.12369571910447,0.0001435764362301,0.0455702193746102,ENSG00000103342,GSPT1,G1 to S phase transition 1,Other
ENSG00000104522.16,9,7,4,4,34,8,14,3,24,7,29,5,31,14,30,32,14,15,9,11,63,15,24,7,56,20,63,9,38,26,62,47,0.0,0.0091574739496744,0.313094034339369,-1.39492996192497,2.3450487816978e-05,0.0129721398464146,ENSG00000104522,GFUS,GDP-L-fucose synthase,Other
ENSG00000105647.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,20,0,0,0,15,0,0,4,13,0,0.0,,,-5.28542849434284,1.20967966905065e-06,0.0019517173393741,ENSG00000105647,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,Other
ENSG00000106992.19,0,0,2,0,2,1,1,0,1,0,0,0,0,0,1,0,11,0,15,7,21,6,26,3,18,2,23,2,12,22,45,14,0.0,0.258635678049761,,-1.7658469970579,1.64201748148883e-05,0.0102551936964855,ENSG00000106992,AK1,adenylate kinase 1,Other
ENSG00000107262.26,107,86,78,73,252,87,409,52,141,51,218,28,170,151,276,194,103,84,76,72,243,83,402,51,135,50,209,26,162,147,271,191,-0.001,2.53752383430766e-05,0.0173515879789958,-1.32001838761924,1.06595365560949e-05,0.0082588289078562,ENSG00000107262,BAG1,BAG cochaperone 1,Other
ENSG00000123240.17,22,27,28,23,60,32,102,17,50,18,69,5,48,60,96,63,21,26,27,23,58,32,101,18,49,19,68,6,46,60,93,62,-0.001,8.72354242637234e-05,0.0260159331322582,-1.2675379759752,4.98204967080772e-05,0.0209690138427192,ENSG00000123240,OPTN,optineurin,Other
ENSG00000130821.17,37,10,13,15,111,31,90,24,67,18,109,1,40,39,92,37,36,11,12,15,111,31,83,24,65,18,109,1,39,38,91,37,-0.001,0.0007007692292856,0.0855689283902716,-1.73485666416929,9.49801937169952e-08,0.0001838911530554,ENSG00000130821,SLC6A8,solute carrier family 6 member 8,Other
ENSG00000133606.11,195,74,93,106,642,103,464,108,375,96,662,47,325,265,567,379,187,71,91,104,628,102,452,102,367,95,657,43,317,255,555,371,-0.001,0.0018593585392127,0.12939329560072,-1.41780719209567,4.43376320623854e-06,0.0047690049686658,ENSG00000133606,MKRN1,makorin ring finger protein 1,Protein_Degradation
ENSG00000137198.10,33,25,23,29,146,50,132,37,78,34,185,12,70,70,151,74,32,24,21,28,144,50,129,37,77,34,181,12,68,68,150,73,-0.001,0.0010894729361616,0.103469665798243,-1.26060612001602,3.74833485127364e-05,0.0181428777638772,ENSG00000137198,GMPR,guanosine monophosphate reductase,Other
ENSG00000143416.21,69,43,15,24,248,80,206,69,123,58,205,20,99,117,192,111,67,41,16,22,243,78,199,68,123,56,202,19,97,116,191,110,-0.001,0.0014176851998439,0.113381425026381,-1.457434439068,1.86845413203719e-06,0.0026049389308836,ENSG00000143416,SELENBP1,selenium binding protein 1,Other
ENSG00000145335.17,87,69,44,55,287,132,469,81,205,145,444,31,98,209,338,225,84,68,43,56,284,128,459,79,201,143,440,30,95,205,331,225,-0.001,0.000118398567457,0.0289146215811094,-1.33014591157658,1.17941227317527e-05,0.0082588289078562,ENSG00000145335,SNCA,synuclein alpha,Other
ENSG00000158578.21,234,145,109,131,1172,322,938,353,1090,522,1431,74,597,655,1283,646,230,142,105,127,1133,316,911,343,1058,513,1405,69,587,644,1251,637,-0.001,0.0014591350398247,0.113381425026381,-1.44659689210014,9.79938671928015e-06,0.0082489533161731,ENSG00000158578,ALAS2,5'-aminolevulinate synthase 2,Erythroid_RBC
