,transcript_position,gene_ENSEMBL,gene_position,C001_L-92,C001_L-44,C001_L-3,C001_R+1,C002_L-92,C002_L-44,C002_L-3,C002_R+1,C003_L-92,C003_L-44,C003_L-3,C003_R+1,C004_L-92,C004_L-44,C004_L-3,C004_R+1,I4-FP1_methylKit p-value,I4-FP1_methylKit q-value,"I4-FP1_methylKit methylation difference, %"
ENST00000000233.10,178,ENSG00000004059.11,203,0.09270255,,,0.09223229,,,,,,,0.1022654,,,,0.06773814,0.11424442,1.0,1.0,2.35788264367986
ENST00000000233.10,195,ENSG00000004059.11,220,,,,0.15415588,,,,,,,0.077314414,,,,0.17262794,0.047985006,1.0,1.0,2.42625008644993
ENST00000000233.10,250,ENSG00000004059.11,275,,,,0.014406634,,,,,,,0.0050530313,0.010802031,,,0.012736785,0.01606152,1.0,1.0,6.95963088725092
ENST00000000233.10,266,ENSG00000004059.11,291,0.4858138,0.48444334,,0.39726335,,,,,,,0.3185269,0.14247575,,,0.50884134,0.2927544,1.0,1.0,1.38932200656846
ENST00000000233.10,302,ENSG00000004059.11,327,0.11968346,0.14596975,,0.17879263,,,,,,,0.14067225,0.27463204,0.16089319,,0.118315265,0.15258439,1.0,1.0,2.65198721787528
ENST00000000233.10,338,ENSG00000004059.11,363,0.47890037,,,0.36635324,,,,,,,0.26080328,,,,0.4041316,0.23428455,1.0,1.0,1.57532596586789
ENST00000000233.10,365,ENSG00000004059.11,390,0.17921275,,,0.0779824,,,,,,,0.036951233,0.13512933,,,0.24283078,0.11445165,1.0,1.0,2.14096155166807
ENST00000000233.10,374,ENSG00000004059.11,399,0.02525575,0.016115785,,0.024499107,,,,,,,0.014056134,0.008652175,0.0038084984,,0.053177606,0.06823095,1.0,1.0,2.70559991717171
ENST00000000233.10,405,ENSG00000004059.11,430,0.12693408,0.14836808,,0.4154133,,,,,,,0.35828644,0.36175323,0.46278197,,0.11723447,0.33218107,1.0,1.0,2.74227832804649
ENST00000000233.10,473,ENSG00000004059.11,498,0.09378801,0.0734565,,0.15062585,,,,,,,0.15986301,,,,0.095747456,0.20410907,1.0,1.0,2.51671334240134
ENST00000000233.10,505,ENSG00000004059.11,530,0.2562199,0.49217883,,0.35292926,0.2623287,,,,,,0.45882407,0.48996854,0.1948444,,0.6005556,0.44782305,1.0,1.0,1.70960064707787
ENST00000000233.10,509,ENSG00000004059.11,534,0.01254909,0.06374891,,0.04292959,,,,,,,0.02318492,,,,0.084539115,0.06485194,1.0,1.0,1.75709713241677
